企业代号,发票号码,开票日期,销方单位代号,金额,税额,价税合计,发票状态 
E20,204119,2016-11-7,A11091,519533.07,88320.61,607853.68,有效发票 
E20,6614473,2016-11-24,A11365,145504.29,24735.72,170240.01,有效发票 
E20,511799,2016-11-29,A11091,142575.77,24237.88,166813.65,有效发票 
E20,511793,2016-11-29,A11091,964042.95,163887.3,1127930.25,有效发票 
E20,760136,2016-11-29,A12036,768376.07,130623.93,899000,有效发票 
E20,760134,2016-11-29,A12036,850854.7,144645.3,995500,有效发票 
E20,760135,2016-11-29,A12036,850854.7,144645.3,995500,有效发票 
E20,7342047,2016-11-30,A00243,99658.12,16941.88,116600,有效发票 
E20,7342045,2016-11-30,A00243,99658.12,16941.88,116600,有效发票 
E20,7342046,2016-11-30,A00243,99658.12,16941.88,116600,有效发票 
E20,7342048,2016-11-30,A00243,99658.12,16941.88,116600,有效发票 
E20,7342049,2016-11-30,A00243,99658.12,16941.88,116600,有效发票 
E20,7342050,2016-11-30,A00243,99658.12,16941.88,116600,有效发票 
E20,7342041,2016-11-30,A00243,99658.12,16941.88,116600,有效发票 
E20,7342042,2016-11-30,A00243,99658.12,16941.88,116600,有效发票 
E20,7342043,2016-11-30,A00243,99658.12,16941.88,116600,有效发票 
E20,7342044,2016-11-30,A00243,99658.12,16941.88,116600,有效发票 
E20,4100589,2016-11-30,A02526,46999.14,7989.86,54989,有效发票 
E20,71683,2016-11-30,A10144,89786.32,15263.68,105050,有效发票 
E20,71682,2016-11-30,A10144,89786.32,15263.68,105050,有效发票 
E20,71684,2016-11-30,A10144,89786.32,15263.68,105050,有效发票 
E20,3912409,2016-12-2,A09224,8299.81,497.99,8797.8,有效发票 
E20,3912410,2016-12-2,A09224,36363.43,2181.77,38545.2,有效发票 
E20,3912408,2016-12-2,A09224,16488.12,989.28,17477.4,有效发票 
E20,3912411,2016-12-2,A09224,13885.76,833.14,14718.9,有效发票 
E20,3912407,2016-12-2,A09224,36601.07,2198.23,38799.3,有效发票 
E20,437984,2016-12-7,A13522,99995.21,16999.19,116994.4,有效发票 
E20,437988,2016-12-7,A13522,99995.21,16999.19,116994.4,有效发票 
E20,437989,2016-12-7,A13522,54745.98,9306.82,64052.8,作废发票 
E20,437990,2016-12-7,A13522,54745.98,9306.82,64052.8,有效发票 
E20,437987,2016-12-7,A13522,99995.21,16999.19,116994.4,有效发票 
E20,437983,2016-12-7,A13522,99995.21,16999.19,116994.4,有效发票 
E20,437982,2016-12-7,A13522,99995.21,16999.19,116994.4,有效发票 
E20,437981,2016-12-7,A13522,99995.21,16999.19,116994.4,有效发票 
E20,437985,2016-12-7,A13522,99995.21,16999.19,116994.4,有效发票 
E20,437986,2016-12-7,A13522,99995.21,16999.19,116994.4,有效发票 
E20,207466,2016-12-15,A11095,339333.92,57686.77,397020.69,有效发票 
E20,207467,2016-12-15,A11095,596345.59,101378.74,697724.33,有效发票 
E20,779149,2016-12-20,A01342,26775,2942.7,29717.7,有效发票 
E20,779150,2016-12-20,A01342,188526.3,20720.1,209246.4,有效发票 
E20,779155,2016-12-20,A01342,106346.08,11684.52,118030.6,有效发票 
E20,779147,2016-12-20,A01342,137098.87,15066.83,152165.7,有效发票 
E20,779148,2016-12-20,A01342,26995.26,2966.94,29962.2,有效发票 
E20,779151,2016-12-20,A01342,188547.1,20713,209260.1,有效发票 
E20,779152,2016-12-20,A01342,53390.6,5866.2,59256.8,有效发票 
E20,779153,2016-12-20,A01342,79950.75,8784.45,88735.2,有效发票 
E20,779154,2016-12-20,A01342,119693.73,13151.07,132844.8,有效发票 
E20,5334335,2016-12-23,A11365,107653.34,18301.07,125954.41,有效发票 
E20,6875091,2016-12-23,A13182,99713.33,16951.27,116664.6,有效发票 
E20,6875089,2016-12-23,A13182,99713.33,16951.27,116664.6,有效发票 
E20,6875090,2016-12-23,A13182,99713.33,16951.27,116664.6,有效发票 
E20,6875085,2016-12-23,A13182,99713.33,16951.27,116664.6,有效发票 
E20,6875084,2016-12-23,A13182,99713.33,16951.27,116664.6,有效发票 
E20,6875093,2016-12-23,A13182,99713.33,16951.27,116664.6,有效发票 
E20,6875094,2016-12-23,A13182,99713.33,16951.27,116664.6,有效发票 
E20,6875095,2016-12-23,A13182,99713.33,16951.27,116664.6,有效发票 
E20,6875096,2016-12-23,A13182,99713.33,16951.27,116664.6,有效发票 
E20,6875097,2016-12-23,A13182,99713.33,16951.27,116664.6,有效发票 
E20,6875098,2016-12-23,A13182,99713.33,16951.27,116664.6,有效发票 
E20,6875099,2016-12-23,A13182,99713.33,16951.27,116664.6,有效发票 
E20,6875100,2016-12-23,A13182,99713.33,16951.27,116664.6,有效发票 
E20,6875101,2016-12-23,A13182,99745.13,16956.67,116701.8,有效发票 
E20,6875086,2016-12-23,A13182,99713.33,16951.27,116664.6,有效发票 
E20,6875087,2016-12-23,A13182,99713.33,16951.27,116664.6,有效发票 
E20,6875088,2016-12-23,A13182,99713.33,16951.27,116664.6,有效发票 
