公司ID: E46


季度: 2.016120e+05  ,  金额: 556193.020000

季度: 2.017010e+05  ,  金额: 172710.400000

季度: 2.017020e+05  ,  金额: 1096225.690000

季度: 2.017030e+05  ,  金额: 1412435.540000

季度: 2.017040e+05  ,  金额: 1818480.660000

季度: 2.017050e+05  ,  金额: 1090189.530000

季度: 2.017060e+05  ,  金额: 562502.650000

季度: 2.017070e+05  ,  金额: 782472.970000

季度: 2.017080e+05  ,  金额: 973833.820000

季度: 2.017090e+05  ,  金额: 1533435.900000

季度: 2.017100e+05  ,  金额: 2748887.320000

季度: 2.017110e+05  ,  金额: 2876306.760000

季度: 2.017120e+05  ,  金额: 1681669.970000

季度: 2.018010e+05  ,  金额: 3323151.950000

季度: 2.018020e+05  ,  金额: 632533.360000

季度: 2.018030e+05  ,  金额: 1217188.900000

季度: 2.018040e+05  ,  金额: 2568949.470000

季度: 2.018050e+05  ,  金额: 2986699.120000

季度: 2.018060e+05  ,  金额: 1674891.670000

季度: 2.018070e+05  ,  金额: 668556.480000

季度: 2.018080e+05  ,  金额: 2151440.420000

季度: 2.018090e+05  ,  金额: 1025868.260000

季度: 2.018100e+05  ,  金额: 1079228.980000

季度: 2.018110e+05  ,  金额: 2164450.290000

季度: 2.018120e+05  ,  金额: 639763.350000

季度: 2.019010e+05  ,  金额: 774424.680000

季度: 2.019020e+05  ,  金额: 1168086.660000

季度: 2.019030e+05  ,  金额: 1761371.430000

季度: 2.019040e+05  ,  金额: 1263624.920000

季度: 2.019050e+05  ,  金额: 1077601.380000

季度: 2.019060e+05  ,  金额: 269316.300000

季度: 2.019070e+05  ,  金额: 1453411.090000

季度: 2.019080e+05  ,  金额: 1004724.400000

季度: 2.019090e+05  ,  金额: 1234118.410000

季度: 2.019100e+05  ,  金额: 1512901.610000

季度: 2.019110e+05  ,  金额: 1107587.680000

季度: 2.019120e+05  ,  金额: 2638308.370000

总流水交易额为: 52703543.410000, 总流水月平均交易额为: 1424420.092162
