公司ID: E98


季度: 2.017010e+05  ,  金额: 1843.700000

季度: 2.017030e+05  ,  金额: 1217.000000

季度: 2.017040e+05  ,  金额: 61171.700000

季度: 2.017060e+05  ,  金额: 88047.000000

季度: 2.017090e+05  ,  金额: 30072.000000

季度: 2.017100e+05  ,  金额: 49459.900000

季度: 2.017110e+05  ,  金额: 312178.000000

季度: 2.017120e+05  ,  金额: 31911.500000

季度: 2.018010e+05  ,  金额: 19440.000000

季度: 2.018030e+05  ,  金额: 4520.000000

季度: 2.018040e+05  ,  金额: 41921.000000

季度: 2.018050e+05  ,  金额: -1346.000000

季度: 2.018060e+05  ,  金额: 8500.000000

季度: 2.018070e+05  ,  金额: 7000.000000

季度: 2.018080e+05  ,  金额: 7725.900000

季度: 2.018090e+05  ,  金额: 28319.500000

季度: 2.018100e+05  ,  金额: 21481.000000

季度: 2.018110e+05  ,  金额: 14549.000000

季度: 2.018120e+05  ,  金额: 68337.000000

季度: 2.019010e+05  ,  金额: 81204.000000

季度: 2.019030e+05  ,  金额: 14250.000000

季度: 2.019040e+05  ,  金额: 72692.000000

季度: 2.019050e+05  ,  金额: 55060.000000

季度: 2.019060e+05  ,  金额: 59814.000000

季度: 2.019070e+05  ,  金额: 811.000000

季度: 2.019080e+05  ,  金额: 7611.000000

季度: 2.019090e+05  ,  金额: 39970.000000

季度: 2.019100e+05  ,  金额: 73976.000000

季度: 2.019110e+05  ,  金额: 63883.000000

季度: 2.019120e+05  ,  金额: 145691.600000

季度: 2.020010e+05  ,  金额: 33800.000000

总流水交易额为: 1445110.800000, 总流水月平均交易额为: 46616.477419
