公司ID: E74


季度: 2.017100e+05  ,  金额: 139178.000000

季度: 2.017110e+05  ,  金额: 40426.000000

季度: 2.017120e+05  ,  金额: 51072.000000

季度: 2.018010e+05  ,  金额: 57819.000000

季度: 2.018020e+05  ,  金额: 141953.000000

季度: 2.018030e+05  ,  金额: 131160.000000

季度: 2.018040e+05  ,  金额: 150208.900000

季度: 2.018050e+05  ,  金额: 199122.500000

季度: 2.018060e+05  ,  金额: 18392.500000

季度: 2.018070e+05  ,  金额: 121388.000000

季度: 2.018080e+05  ,  金额: 221599.000000

季度: 2.018090e+05  ,  金额: 129386.200000

季度: 2.018100e+05  ,  金额: 104109.400000

季度: 2.018110e+05  ,  金额: 88737.400000

季度: 2.018120e+05  ,  金额: 98869.700000

季度: 2.019010e+05  ,  金额: 175267.300000

季度: 2.019020e+05  ,  金额: 110582.000000

季度: 2.019030e+05  ,  金额: 146399.700000

季度: 2.019040e+05  ,  金额: 141628.650000

季度: 2.019050e+05  ,  金额: 182003.800000

季度: 2.019060e+05  ,  金额: 205845.200000

季度: 2.019070e+05  ,  金额: 95371.000000

季度: 2.019080e+05  ,  金额: 119114.000000

季度: 2.019090e+05  ,  金额: 241310.400000

季度: 2.019100e+05  ,  金额: 173325.100000

季度: 2.019110e+05  ,  金额: 168222.000000

季度: 2.019120e+05  ,  金额: 204585.000000

季度: 2.020010e+05  ,  金额: 320764.000000

总流水交易额为: 3977839.750000, 总流水月平均交易额为: 142065.705357
